id,created_at,text
1249802580659593216,2020-04-13 20:52:10,"RT @GoogleAI: Announcing XTREME, new #NaturalLanguageProcessing benchmark for cross-lingual generalization, which covers 40 typologically…"
1247393789381091328,2020-04-07 05:20:29,"RT @pluralsight: To make #FreeApril even better, we're giving away the ultimate #StayHomeSkillUp prize pack! -&gt; Retweet for the chance to…"
1245988452123865088,2020-04-03 08:16:10,"If the logic behind lighting candles on 5th April is increasing overall temperature to kill coronavirus, guess cooking food everyday produces more heat than the candles #ModiVideoMessage #9pm9mins"
1244322640036106240,2020-03-29 17:56:50,RT @WHO: FACT: #COVID19 is NOT airborne. The #coronavirus is mainly transmitted through droplets generated when an infected person coughs…
1243189070030753792,2020-03-26 14:52:26,"RT @huggingface: Bored at home? Need new friend? Hang out with BART, the newest model available in transformers (thx @sam_shleifer) , wit…"
1242504405510795266,2020-03-24 17:31:49,RT @FirstBlack_Dean: Finally something lot of people are good at... don't disappoint🙏🏽 #21daylockdown #Covid19SA https://t.co/8IXlAmsE4F
1242504211834630144,2020-03-24 17:31:03,RT @narendramodi: Addressing the nation on battling the COVID-19 menace. #IndiaFightsCorona https://t.co/jKyFMOQO5a
1242504190271713281,2020-03-24 17:30:58,"RT @CMOMaharashtra: ""माझे पंतप्रधान जी यांच्याशी बोलणे झाले. महाराष्ट्र शासनाने जाहीर केलेले जे नियम आहेत ते तसेच राहतील. जीव…"
1242504125046091776,2020-03-24 17:30:42,"RT @erikbryn: After 21-day national staycation, we need to test *everyone*, like Iceland did. People who test positive, even with no s…"
1234168365868027905,2020-03-01 17:27:22,RT @cricketwallah: In case you haven’t seen this absolutely stunning catch by today. Among the best I’ve seen: https://t.co/qvIEb…
1233736285153452037,2020-02-29 12:50:26,"RT @klonkitchen: What if told you China has deployed 120 million sensors around the US that can track your travel, your friendships, your…"
1229446931580981249,2020-02-17 16:46:05,RT @AnalyticsVidhya: #PyOD is really cool library to detect #outliers. It provides access to more than 20 different #algorithms to detect…
1229446621215068163,2020-02-17 16:44:51,RT @Quantum_Stat: [UPDATE] Big Bad NLP Database 😎 We've updated the database with 25 new datasets! Thanks again for contributing: Ayman Al…
1228216161952624640,2020-02-14 07:15:26,"RT @fchollet: We're launching Kaggle competition on the Abstraction &amp; Reasoning Corpus (ARC)! months duration, $20,000 in prizes. Good…"
1228216123172118529,2020-02-14 07:15:17,RT @radekosmulski: Interested in working with sound in Python? 🎶🎙️🥁 https://t.co/5oJx7sHV3w now has full colab support - you can run the…
1226926460994228228,2020-02-10 17:50:38,"RT @FrancescoLocat8: We propose new setup for weakly-supervised disentanglement, which: * does not require group annotations * is widely…"
1226732672640110592,2020-02-10 05:00:35,RT @zacharylipton: Thrilled to release our greatest paper yet in Nature Machine Learning: ***Multimodal Multitask Multidomain Multi-Attenti…
1225638773569904644,2020-02-07 04:33:49,"RT @facebookai: With 4.5B parallel sentences in 576 language pairs, CCMatrix is the largest data set of high-quality, web-based bitexts for…"
1225281629431595008,2020-02-06 04:54:39,RT @Deep__AI: Stable Prediction with Model Misspecification and Agnostic Distribution Shift https://t.co/fthV7oqM31 by Kun Kuang et al. inc…
1225281250790797312,2020-02-06 04:53:09,"RT @iamtrask: In perfect world - research wouldn't be papers - it'd be more like @Wikipedia. ""Submitting paper"" is really about editin…"
1225280783608270848,2020-02-06 04:51:18,"RT @AppliedAIC: From keyword research to email campaigns to influencer outreach, AI-based tool will make your marketing strategy more effic…"
1224710326567997441,2020-02-04 15:04:30,RT @jeremyphoward: How did not know of this until now? https://t.co/qXTEbPpFMx https://t.co/vgwvszgFEo
1224710133088968704,2020-02-04 15:03:44,RT @kdnuggets: The 22 Most-Used Python Packages in the World https://t.co/rnWmrgQ0rh https://t.co/YBUAvJL5dN
1224085897030668288,2020-02-02 21:43:14,RT @AppliedAIC: Save Time and Create Better Custom Curated Content With marXeed. Open Rates Will Soar. Start Writing Better Blogs With The…
1222464282303987712,2020-01-29 10:19:31,"RT @AppliedAIC: Brands need way to blog quickly, consistently, and intelligently without loss of quality. #AI based #blogging attracts a…"
1222036592908365825,2020-01-28 06:00:02,RT @asifrazzaq1988: Top Data Science Influencers To Follow on Twitter (2020) https://t.co/AZUa8U5QAt @teo…
1222036533076619270,2020-01-28 05:59:48,RT @dpkingma: Another great result demonstrating that VAEs (deep learning + amortized variational inference) make lot of sense for data c…
